date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-05-26 16:00:17,GoldmanSachs,,1,3,12,"Margaret Anadu, head of $GS' Urban Investment Group, on the firm’s $500 million small business loan commitment: https://click.gs.com/wh8z",,,,1265311806643335170,https://twitter.com/GoldmanSachs/status/1265311806643335170
2020-05-26 14:00:17,GoldmanSachs,,0,2,6,".@bp_plc CEO Bernard Looney gives his outlook on the energy markets for the near- and the long-term during a #TalksAtGS with $GS' Chairman and CEO David Solomon: https://click.gs.com/7va9",,@bp_plc,#TalksAtGS,1265281606421487617,https://twitter.com/GoldmanSachs/status/1265281606421487617
2020-05-25 20:00:17,GoldmanSachs,,0,3,4,".@BTGroup CEO Philip Jansen discusses the future of digital infrastructure during a #TalksAtGS with $GS' President and COO John Waldron: https://click.gs.com/g33s",,@BTGroup,#TalksAtGS,1265009814821834753,https://twitter.com/GoldmanSachs/status/1265009814821834753
2020-05-25 19:00:01,GoldmanSachs,,0,0,9,"From market impacts to rethinking how we work during a pandemic, explore our research and insights relating to #COVID19: https://click.gs.com/bggj",,,#COVID19,1264994649103532037,https://twitter.com/GoldmanSachs/status/1264994649103532037
2020-05-25 18:00:17,GoldmanSachs,,2,6,10,"Why has political polarization increased in the U.S. in the last 20 years? Pulitzer Prize-winning author of “Upheaval” Jared Diamond discusses in an episode of #TalksAtGS: https://click.gs.com/j3ly",,,#TalksAtGS,1264979616562896897,https://twitter.com/GoldmanSachs/status/1264979616562896897
2020-05-25 17:00:16,GoldmanSachs,,3,3,11,"“As a leader of a team, we don’t have the luxury to panic.” Dana White, founder and CEO of blow-dry salon Paralee Boyd, on how small businesses are surviving: https://click.gs.com/xdad",,,,1264964511402004481,https://twitter.com/GoldmanSachs/status/1264964511402004481
2020-05-25 16:00:20,GoldmanSachs,,0,4,13,".@bp_plc CEO Bernard Looney discusses the continued #bpNetZero commitment during a #TalksAtGS with $GS' Chairman and CEO David Solomon: https://click.gs.com/bfud",,@bp_plc,#bpNetZero #TalksAtGS,1264949431297851392,https://twitter.com/GoldmanSachs/status/1264949431297851392
2020-05-25 14:00:19,GoldmanSachs,,2,4,11,"“Our capital has reached very small businesses, just as we hoped it would.” - $GS' Margaret Anadu: https://click.gs.com/a4f2",,,,1264919225329692672,https://twitter.com/GoldmanSachs/status/1264919225329692672
2020-05-25 13:00:20,GoldmanSachs,,1,7,8,"""A World Without Work"" author @danielsusskind gives advice to the next generation on the future of work: https://click.gs.com/ycdd #TalksAtGS",,@danielsusskind,#TalksAtGS,1264904133422784512,https://twitter.com/GoldmanSachs/status/1264904133422784512
2020-05-24 22:00:17,GoldmanSachs,,0,6,12,"During a #TalksAtGS with $GS' Chairman and CEO David Solomon, @bp_plc CEO Bernard Looney discusses why supporting mental health is critical during these challenging times: https://click.gs.com/4d8q",,@bp_plc,#TalksAtGS,1264677626494554114,https://twitter.com/GoldmanSachs/status/1264677626494554114
2020-05-24 20:00:15,GoldmanSachs,,0,2,16,"How is $GS supporting small businesses during this challenging time? Margaret Anadu explains: https://click.gs.com/2ts3",,,,1264647420933267456,https://twitter.com/GoldmanSachs/status/1264647420933267456
2020-05-24 19:00:16,GoldmanSachs,,3,4,24,"“My prediction is… the next thing for which it will be possible to pull together world support for global action on a global problem will be climate change.” - Pulitzer Prize-winning author of “Upheaval” Jared Diamond: https://click.gs.com/4dch #TalksAtGS",,,#TalksAtGS,1264632322885705729,https://twitter.com/GoldmanSachs/status/1264632322885705729
2020-05-24 17:00:17,GoldmanSachs,,0,2,7,".@BTGroup CEO Philip Jansen discusses the future of global connectivity during a #TalksAtGS with $GS' President and COO John Waldron: https://click.gs.com/pwbn",,@BTGroup,#TalksAtGS,1264602130171772928,https://twitter.com/GoldmanSachs/status/1264602130171772928
2020-05-24 16:00:16,GoldmanSachs,,0,2,12,"How are small businesses surviving? $GS' Asahi Pompey talks with three #entrepreneurs: https://click.gs.com/9qh8",,,#entrepreneurs,1264587025488936963,https://twitter.com/GoldmanSachs/status/1264587025488936963
2020-05-24 14:00:17,GoldmanSachs,,0,10,24,"""A World Without Work"" author @danielsusskind discusses how #technology is transforming the future of work in an episode of #TalksAtGS: https://click.gs.com/dryf",,@danielsusskind,#technology #TalksAtGS,1264556829327208448,https://twitter.com/GoldmanSachs/status/1264556829327208448
2020-05-23 21:00:18,GoldmanSachs,,0,10,20,"“The trend in the world to a world that's demanding clean, reliable, affordable energy, I think that's unstoppable.” @bp_plc CEO Bernard Looney during a #TalksAtGS with $GS' Chairman and CEO David Solomon: https://click.gs.com/jlx9",,@bp_plc,#TalksAtGS,1264300142871695360,https://twitter.com/GoldmanSachs/status/1264300142871695360
2020-05-23 20:00:17,GoldmanSachs,,0,1,8,"Margaret Anadu, head of $GS' Urban Investment Group, on the firm’s $500 million small business loan commitment: https://click.gs.com/cjy9",,,,1264285038969081857,https://twitter.com/GoldmanSachs/status/1264285038969081857
2020-05-23 19:00:17,GoldmanSachs,,2,6,26,"“My hunch is that the breakdown in civility, including political compromise, in the U.S. in the last couple of decades has been because of our decline in face-to-face communication.” - Pulitzer Prize-winning author of “Upheaval” Jared Diamond: https://click.gs.com/na56 #TalksAtGS",,,#TalksAtGS,1264269942347751426,https://twitter.com/GoldmanSachs/status/1264269942347751426
2020-05-23 18:00:01,GoldmanSachs,,1,3,14,"From market impacts to rethinking how we work during a pandemic, explore our research and insights relating to #COVID19: https://click.gs.com/mprd",,,#COVID19,1264254773152419840,https://twitter.com/GoldmanSachs/status/1264254773152419840
2020-05-23 17:00:17,GoldmanSachs,,1,1,11,"“I think that the network has been tested in a way that no one would have anticipated before.” - @BTGroup CEO Philip Jansen during a #TalksAtGS with $GS' President and COO John Waldron: https://click.gs.com/jgtv",,@BTGroup,#TalksAtGS,1264239743203753984,https://twitter.com/GoldmanSachs/status/1264239743203753984
2020-05-23 16:00:16,GoldmanSachs,,0,0,5,"What’s keeping #smallbiz owners up at night? Dana White, founder and CEO of Paralee Boyd, a blow-dry salon in Detroit, tells her story: https://click.gs.com/cswy",,,#smallbiz,1264224639317876737,https://twitter.com/GoldmanSachs/status/1264224639317876737
2020-05-23 14:00:17,GoldmanSachs,,1,3,9,"“One choice is you try to become the sort of person who competes with these systems or machines.” - ""A World Without Work"" author @danielsusskind gives advice to the future of the workforce: https://click.gs.com/cwfd #TalksAtGS",,@danielsusskind,#TalksAtGS,1264194444921843714,https://twitter.com/GoldmanSachs/status/1264194444921843714
2020-05-23 13:00:17,GoldmanSachs,,1,0,10,"What trends are we seeing across China’s consumer behavior? Michelle Cheng, equity analyst for $GS Research, discusses the framework her team is using to analyze consumption across a number of categories in this episode of The Daily Check-In: https://click.gs.com/736a",,,,1264179345599455232,https://twitter.com/GoldmanSachs/status/1264179345599455232
2020-05-22 22:00:18,GoldmanSachs,,1,2,8,"“Looking forward, I think life's going to change dramatically for everybody.” - @BTGroup CEO Philip Jansen on the future of global connectivity during a #TalksAtGS with $GS' President and COO John Waldron: https://click.gs.com/wq3g",,@BTGroup,#TalksAtGS,1263952857264463873,https://twitter.com/GoldmanSachs/status/1263952857264463873
2020-05-22 21:00:16,GoldmanSachs,,0,2,8,"“Our capital has reached very small businesses, just as we hoped it would.” - $GS' Margaret Anadu: https://click.gs.com/ld84",,,,1263937747326205954,https://twitter.com/GoldmanSachs/status/1263937747326205954
2020-05-22 20:15:17,GoldmanSachs,,0,5,14,"What types of consumer behavior trends are emerging in China and what can they tell us about the region’s economic recovery? Michelle Cheng, equity analyst for $GS Research, discusses what she’s seeing across a range of retail categories: https://click.gs.com/kexq",,,,1263926426971111426,https://twitter.com/GoldmanSachs/status/1263926426971111426
2020-05-22 19:10:15,GoldmanSachs,,0,4,9,"$GS' Tony Pasquariello on the “extraordinary and unprecedented” monetary and fiscal policy response: https://click.gs.com/q5au",,,,1263910059773394944,https://twitter.com/GoldmanSachs/status/1263910059773394944
